new gene ID	Cluster	cons phenotype
PBANKA_1227500	16	None
PBANKA_0912500	16	None
PBANKA_1446000	16	None
PBANKA_0620700	16	None
PBANKA_1422800	16	None
PBANKA_1434400	16	None
PBANKA_1334900	16	None
PBANKA_1421600	16	None
PBANKA_0704700	16	None
PBANKA_1421500	16	None
PBANKA_0605100	16	None
PBANKA_0703500	16	None
PBANKA_1035200	16	None
PBANKA_0616800	17	None
PBANKA_0806100	17	None
PBANKA_1106400	17	None
PBANKA_0812800	17	None
PBANKA_1218100	17	None
PBANKA_1145500	17	None
PBANKA_1425400	17	None
PBANKA_1223000	17	None
PBANKA_1138700	17	None
PBANKA_0929800	17	None
PBANKA_0212000	17	None
PBANKA_0416800	17	None
PBANKA_1437500	17	Both
PBANKA_1126900	17	Male
PBANKA_0902100	17	None
PBANKA_1104800	18	None
PBANKA_1348100	18	None
PBANKA_0933900	18	None
PBANKA_1404000	18	None
PBANKA_0606100	18	None
PBANKA_0209200	18	None
PBANKA_1027200	18	None
PBANKA_0312300	18	None
PBANKA_1422100	18	None
PBANKA_0404600	18	None
PBANKA_1408600	18	None
PBANKA_1103200	18	None
PBANKA_0918700	18	None
PBANKA_1242000	18	None
PBANKA_1459800	18	None
PBANKA_1444900	18	None
PBANKA_0312200	18	None
PBANKA_1032700	18	None
PBANKA_0203500	18	None
PBANKA_0510800	18	None
PBANKA_1110800	18	None
PBANKA_0940100	18	None
PBANKA_1301900	18	None
PBANKA_0606900	18	None
PBANKA_1132400	18	None
PBANKA_0940200	18	None
PBANKA_1435400	18	None
PBANKA_0825300	18	None
PBANKA_0811100	18	None
PBANKA_1235900	18	Male
PBANKA_1436200	18	None
PBANKA_0401200	18	None
PBANKA_0906200	19	None
PBANKA_1016400	19	None
PBANKA_0926600	19	None
PBANKA_0602400	19	None
PBANKA_0518300	19	None
PBANKA_1318000	19	None
PBANKA_0914100	19	None
PBANKA_1455400	19	None
PBANKA_0831800	19	None
PBANKA_0312100	19	None
PBANKA_1347200	19	Female
PBANKA_1314900	19	None
PBANKA_1017500	19	None
PBANKA_0925500	19	None
PBANKA_0619600	19	None
PBANKA_1321000	19	None
PBANKA_1450000	19	None
PBANKA_1116000	19	None
PBANKA_0404700	20	None
PBANKA_1007300	20	None
PBANKA_0716300	20	None
PBANKA_1003500	20	None
PBANKA_0506500	20	None
PBANKA_0109600	20	None
PBANKA_0706900	20	None
PBANKA_0616000	20	None
PBANKA_1122400	20	None
PBANKA_0518200	20	None
PBANKA_1302800	20	None
PBANKA_0715400	20	None
PBANKA_0609200	20	None
PBANKA_0611900	20	None
PBANKA_0835100	20	None
PBANKA_0416400	20	None
PBANKA_1236400	20	None
PBANKA_1319100	21	None
PBANKA_1445900	21	None
PBANKA_0907800	21	None
PBANKA_1358200	21	None
PBANKA_0312600	21	None
PBANKA_0938500	21	None
PBANKA_1024800	21	None
PBANKA_1312600	21	None
PBANKA_1033300	21	None
PBANKA_0105900	21	None
PBANKA_0308200	21	None
PBANKA_0507200	21	None
PBANKA_0929700	22	None
PBANKA_1127100	22	None
PBANKA_0616700	22	None
PBANKA_1425200	22	None
PBANKA_1324700	22	None
PBANKA_1244900	22	None
PBANKA_0906100	22	None
PBANKA_1034500	22	None
PBANKA_1232000	22	None
PBANKA_0818400	22	None
PBANKA_0417100	22	None
PBANKA_0608800	22	None
PBANKA_0906000	22	None
PBANKA_0501700	22	None
PBANKA_1310700	22	None
PBANKA_0704400	22	None
PBANKA_0210100	22	None
PBANKA_0414900	22	None
PBANKA_1403300	22	None
PBANKA_1026000	23	None
PBANKA_1019800	23	None
PBANKA_1427100	23	None
PBANKA_1138100	23	None
PBANKA_0703300	23	None
PBANKA_0513000	23	None
PBANKA_1119200	23	None
PBANKA_1214400	23	None
PBANKA_0816800	23	None
PBANKA_0306600	23	None
PBANKA_0518500	23	None
PBANKA_1305200	23	None
PBANKA_1338900	23	None
PBANKA_1129800	23	None
PBANKA_1216300	23	None
PBANKA_0503300	23	None
PBANKA_0908400	23	None
PBANKA_0622400	23	None
PBANKA_1342500	23	None
PBANKA_0413500	23	None
PBANKA_0721000	24	None
PBANKA_0929300	24	None
PBANKA_1232300	24	None
PBANKA_1002500	24	None
PBANKA_1361800	24	None
PBANKA_1309800	24	None
PBANKA_0926900	24	None
PBANKA_1026300	24	None
PBANKA_1032400	24	None
PBANKA_1404300	24	None
PBANKA_1208000	24	None
PBANKA_1207400	24	None
PBANKA_0909400	24	None
PBANKA_0824400	24	None
PBANKA_1435200	24	Female
PBANKA_0919900	24	None
PBANKA_1463000	24	None
PBANKA_0304800	25	None
PBANKA_1002600	25	None
PBANKA_0832800	25	None
PBANKA_0832900	25	None
PBANKA_1404500	25	None
PBANKA_1410200	26	None
PBANKA_0513600	26	None
PBANKA_1133400	26	None
