Gene_ID_PB,DOZI_regulated?
PBANKA_1321100,NO
PBANKA_0619800,NO
PBANKA_0716000,NO
PBANKA_1216700,NO
PBANKA_0822500,NO
PBANKA_1401000,NO
PBANKA_1326000,NO
PBANKA_1354900,YES
PBANKA_0925300,NO
PBANKA_1205900,NO
PBANKA_1332000,NO
PBANKA_1202500,NO
PBANKA_0613200,NO
PBANKA_0203100,NO
PBANKA_0110500,NO
PBANKA_1415400,YES
PBANKA_1011100,NO
PBANKA_0605700,NO
PBANKA_0205000,NO
PBANKA_0939000,NO
PBANKA_0833600,NO
PBANKA_0414700,NO
PBANKA_0618500,NO
PBANKA_1351300,NO
PBANKA_1107400,NO
PBANKA_1451700,NO
PBANKA_1452300,NO
PBANKA_0615700,NO
PBANKA_1337100,NO
PBANKA_1137800,NO
PBANKA_0100900,NO
PBANKA_0205800,NO
PBANKA_1365300,NO
PBANKA_1205100,YES
PBANKA_1411200,NO
PBANKA_1214700,NO
PBANKA_1241300,NO
PBANKA_0601200,NO
PBANKA_0408400,NO
PBANKA_0207000,NO
PBANKA_0803600,NO
PBANKA_1352500,YES
PBANKA_1201800,NO
PBANKA_1306300,NO
PBANKA_0615800,NO
PBANKA_0509700,NO
PBANKA_1432500,NO
PBANKA_0504800,NO
PBANKA_1122000,NO
PBANKA_1240000,NO
PBANKA_1327300,NO
PBANKA_1011400,NO
PBANKA_0605200,NO
PBANKA_0607400,NO
PBANKA_1017300,NO
PBANKA_0418100,NO
PBANKA_1406200,NO
PBANKA_1126500,NO
PBANKA_0509200,NO
PBANKA_0907100,YES
PBANKA_0511400,NO
PBANKA_1448500,NO
PBANKA_1440600,NO
PBANKA_1335100,NO
PBANKA_1129100,NO
PBANKA_0827500,NO
PBANKA_0302500,NO
PBANKA_0933000,NO
PBANKA_0923400,NO
PBANKA_1008800,NO
PBANKA_1219800,NO
PBANKA_1436200,NO
PBANKA_0105400,NO
PBANKA_0623200,NO
PBANKA_1434800,NO
PBANKA_1134000,NO
PBANKA_1321700,YES
PBANKA_1421700,YES
PBANKA_1201900,NO
PBANKA_1234300,NO
PBANKA_0310900,NO
PBANKA_0406000,NO
PBANKA_1200600,NO
PBANKA_0903600,NO
PBANKA_1140100,NO
PBANKA_1312100,NO
PBANKA_1135000,NO
PBANKA_1143600,NO
PBANKA_1214200,NO
PBANKA_0824300,NO
PBANKA_0304500,NO
PBANKA_0720900,YES
PBANKA_1134400,NO
PBANKA_0402100,NO
PBANKA_0902900,YES
PBANKA_0203200,NO
PBANKA_0520900,NO
PBANKA_0410500,NO
PBANKA_1138900,NO
PBANKA_0604200,NO
PBANKA_0605300,NO
PBANKA_1027300,NO
PBANKA_0941300,NO
PBANKA_0830800,NO
PBANKA_0109100,NO
PBANKA_0401500,NO
PBANKA_0204800,NO
PBANKA_0924800,NO
PBANKA_0916700,YES
PBANKA_0620900,NO
PBANKA_0810600,NO
PBANKA_1108700,NO
PBANKA_1314100,NO
PBANKA_0510800,NO
PBANKA_0307800,NO
PBANKA_0415600,NO
PBANKA_1231500,NO
PBANKA_0416800,NO
PBANKA_1137300,NO
PBANKA_1325600,NO
PBANKA_0313800,NO
PBANKA_1115200,NO
PBANKA_1440700,NO
PBANKA_1347700,NO
PBANKA_0409300,NO
PBANKA_0112200,NO
PBANKA_1454600,NO
PBANKA_1457600,NO
PBANKA_0819300,NO
PBANKA_1439900,NO
PBANKA_1038900,NO
PBANKA_0812900,NO
PBANKA_0918100,NO
PBANKA_1137900,NO
PBANKA_0817400,NO
PBANKA_1009200,NO
PBANKA_1227800,NO
PBANKA_1221600,NO
PBANKA_1364300,YES
PBANKA_1355900,YES
PBANKA_1364700,NO
PBANKA_1460400,NO
PBANKA_0819000,NO
PBANKA_0609700,NO
PBANKA_0915300,NO
PBANKA_0701000,NO
PBANKA_1225500,YES
PBANKA_0104800,NO
PBANKA_1009100,NO
PBANKA_1034900,NO
PBANKA_0712100,NO
PBANKA_1208600,NO
PBANKA_1030200,NO
PBANKA_1246600,NO
PBANKA_0108400,NO
PBANKA_0601900,NO
PBANKA_0307000,NO
PBANKA_1426300,NO
PBANKA_0504000,NO
PBANKA_0609900,NO
PBANKA_1437800,NO
PBANKA_1317900,NO
PBANKA_1136100,NO
PBANKA_0808700,NO
PBANKA_0921800,NO
PBANKA_0813000,NO
PBANKA_0931900,NO
PBANKA_1422400,NO
PBANKA_1360700,NO
PBANKA_0703600,NO
PBANKA_1245800,NO
PBANKA_1452100,YES
PBANKA_0914300,NO
PBANKA_1104700,NO
PBANKA_0912500,NO
PBANKA_0109700,NO
PBANKA_1448000,NO
PBANKA_0204500,NO
PBANKA_1420600,NO
PBANKA_0503600,NO
PBANKA_0109900,NO
PBANKA_0407600,NO
PBANKA_1417300,NO
PBANKA_1014900,NO
PBANKA_1106500,NO
PBANKA_1353100,NO
PBANKA_1117100,NO
PBANKA_0517400,NO
PBANKA_1363800,NO
PBANKA_1112500,NO
PBANKA_1234600,NO
PBANKA_1353700,NO
PBANKA_1420800,NO
PBANKA_0906500,NO
PBANKA_1417900,NO
PBANKA_1010800,NO
PBANKA_1332100,NO
PBANKA_1200800,YES
PBANKA_0108700,NO
PBANKA_1449900,NO
PBANKA_0717200,NO
PBANKA_1026200,NO
PBANKA_0509500,NO
PBANKA_0802000,NO
PBANKA_0833000,NO
PBANKA_0609100,NO
PBANKA_1414500,YES
PBANKA_0106900,NO
PBANKA_1019600,NO
PBANKA_0937800,NO
PBANKA_0802700,NO
PBANKA_0110400,NO
PBANKA_0102200,NO
PBANKA_1036600,NO
PBANKA_1131900,NO
PBANKA_1103400,NO
PBANKA_1316100,NO
PBANKA_1454800,NO
PBANKA_0810700,YES
PBANKA_0912100,NO
PBANKA_1021000,NO
PBANKA_1453100,YES
PBANKA_1360500,NO
PBANKA_0506600,NO
PBANKA_0922300,NO
PBANKA_0915200,NO
PBANKA_0111200,NO
PBANKA_1116400,NO
PBANKA_0910300,NO
PBANKA_0921900,NO
PBANKA_1329600,NO
PBANKA_1318500,YES
PBANKA_0510200,NO
PBANKA_0703700,NO
PBANKA_0502800,NO
PBANKA_1027000,YES
PBANKA_0709400,NO
PBANKA_0100800,NO
PBANKA_0910200,NO
PBANKA_1138200,NO
PBANKA_1320900,YES
PBANKA_0912200,NO
PBANKA_1321000,NO
PBANKA_1453000,NO
PBANKA_1341000,NO
PBANKA_0213400,NO
PBANKA_1309500,NO
PBANKA_0105600,NO
PBANKA_1220200,NO
PBANKA_1206100,NO
PBANKA_0104900,NO
PBANKA_0514500,NO
PBANKA_1131400,NO
PBANKA_1214800,NO
PBANKA_0401700,NO
PBANKA_1449300,YES
PBANKA_1109400,NO
PBANKA_1424600,NO
PBANKA_0912000,NO
PBANKA_1363600,NO
PBANKA_0210200,NO
PBANKA_1325000,NO
PBANKA_1138600,YES
PBANKA_0211900,NO
PBANKA_1429600,NO
PBANKA_1002000,NO
PBANKA_0104600,NO
PBANKA_1118700,NO
PBANKA_1443100,NO
PBANKA_0616900,NO
PBANKA_0417600,YES
PBANKA_1346600,NO
PBANKA_1228500,NO
PBANKA_0206600,NO
PBANKA_1127700,NO
PBANKA_1213300,NO
PBANKA_0712200,YES
PBANKA_0214800,YES
PBANKA_0914600,NO
PBANKA_1231400,NO
PBANKA_1457400,NO
PBANKA_0520200,NO
PBANKA_1234500,NO
PBANKA_1361100,NO
PBANKA_1116700,NO
PBANKA_1123300,NO
PBANKA_1232900,NO
PBANKA_1413900,NO
PBANKA_0201500,NO
PBANKA_1313400,NO
PBANKA_1214000,NO
PBANKA_0619200,NO
PBANKA_0912600,NO
PBANKA_0405300,NO
PBANKA_0305400,NO
PBANKA_0704100,NO
PBANKA_0314500,NO
PBANKA_0906700,NO
PBANKA_1331200,NO
PBANKA_1329100,YES
PBANKA_0210400,NO
PBANKA_1218300,NO
PBANKA_0715600,NO
PBANKA_0922500,NO
PBANKA_0404800,NO
PBANKA_1212000,NO
PBANKA_0815400,YES
PBANKA_1014400,NO
PBANKA_1340500,NO
PBANKA_0720200,NO
PBANKA_1348900,NO
PBANKA_1126400,NO
PBANKA_0807700,NO
PBANKA_1344000,NO
PBANKA_0714200,YES
PBANKA_0203800,NO
PBANKA_1349000,NO
