"","GeneId","X0h","X1h","X2h","X4h","X6h","X8h","X12h","X18h","X24h","X30h","X44h","MFfc","Cluster","TranscriptLength"
"4644","PBANKA_1427800.1","0.047045544","-0.030702389","0.064360183","-0.387789351","0.081429245","0.008392581","0.7026697","0.753759744","0.68382582","0.547260659","-0.424247164","1.8358445477104","36",16569
"4645","PBANKA_1427900.1","0.01479029","0.060145051","0.019517091","0.046453733","-0.482641787","0.063927269","-0.819374974","-0.686452778","-1.602613875","-1.376870006","-0.921619661","0.510179682396057","26",315
"4646","PBANKA_1428000.1","-0.008610204","-0.02895494","-0.014158732","-0.140968561","0.153781846","-0.066153671","0.343669758","0.158048982","0.575460095","-0.576084403","0.010545396","0.197656625857885","45",2643
"4647","PBANKA_1428100.1","-0.168350945","0.010330153","0.05480466","-0.062301753","-0.090210223","0.092997831","0.210685066","0.749139844","1.592121961","1.547325914","1.763107344","-0.802970073912152","30",2982
"4648","PBANKA_1428200.1","0.156351126","-0.021645146","-0.180047298","0.025018272","0.26173946","-0.059854212","0.017102476","0.508167397","1.56804004","1.26890508","0.779323118","1.81627332866904","53",2322
"4649","PBANKA_1428300.1","-0.081232667","-0.016079248","0.005587068","-0.065984687","-0.059271151","0.531533189","1.828453878","3.43460186","3.835618641","3.991150621","2.537425417","5.79985729686839","63",3675
"4650","PBANKA_1428400.1","-0.037582563","-0.002528076","-0.080722221","0.09169462","-0.028988707","0.000593868","0.105563843","-0.574128932","-0.801363264","-0.447849575","-0.685658492","-1.34885870673368","18",876
"4651","PBANKA_1428500.1","-0.04447821","0.070123082","0.060430219","0.152986347","0.109204333","0.047728723","-0.423410261","-0.832654296","-2.215411286","-1.856605072","-1.788608629","1.54100654035304","50",1752
"4652","PBANKA_1428600.1","0.183292652","-0.022555378","0.095608163","0.002883479","-0.065722051","0.429539306","0.04208191","0.340782375","0.033858604","0.197586665","0.483663051","-0.28444988989087","45",456
"4653","PBANKA_1428700.1","0.100428438","0.07219252","-0.207952187","-0.090283965","-0.450389752","-0.155135528","0.020537121","0.219685743","-0.133543682","-1.077642942","-1.032736523","0.818110463084952","44",3792
"4654","PBANKA_1428800.1","-0.05848942","0.062110233","0.263643597","0.149952506","-0.114214114","-0.057643171","-0.12484102","0.190512489","1.00072017","1.64847792","0.908055457","-1.62983108536541","13",966
"4655","PBANKA_1428900.1","-0.00768018","0.074291654","0.193873855","-0.051079717","-0.180658101","0.150882506","0.363750015","-0.156905521","-0.650027216","-1.787435793","-1.619021447","2.26784084663383","59",2973
