"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_0108100.1",1972.23408736385,2.36999358118633,0.256170788297786,9.25161528734231,2.21125320628336e-20,1.17758370644532e-19
"PBANKA_0108200.1",8540.79066279953,-3.73834222406896,0.276450898964505,-13.5226263979302,1.14995751694615e-41,1.78018948944667e-40
"PBANKA_0108300.1",5735.29799834337,3.5402873038218,0.413984792108699,8.55173274793202,1.21254272539651e-17,5.48303311352544e-17
"PBANKA_0108400.1",10526.039173929,-1.64198633558354,0.175576896456717,-9.35194987905671,8.60465468793693e-21,4.68394877680199e-20
"PBANKA_0108500.1",472.789063320742,1.17306566973572,0.284879486433604,4.11776110811377,3.82570963965776e-05,7.15325832152185e-05
"PBANKA_0108600.1",1774.68674629306,-0.607166696322147,0.329472192686185,-1.84284655822369,0.0653514168861452,0.0846448628261504
"PBANKA_0108700.1",11580.3119885843,0.584671344605207,0.226363282036165,2.5828895010976,0.00979766975539797,0.0140805652604061
"PBANKA_0108800.1",4021.92047387054,-1.30944072457395,0.423632344947608,-3.09098382168125,0.00199494503161386,0.00315361595767232
"PBANKA_0108900.1",122.073100192198,0.883663908083008,0.386989923909605,2.28342872381715,0.0224051269052223,0.0307340152199098
"PBANKA_0109000.1",177.828351611554,0.588892223936,0.334234192519972,1.76191495997469,0.0780836666318738,0.100055009069677
"PBANKA_0109100.1",2088.38999630272,0.784425614903677,0.205148505332257,3.82369646629025,0.000131465744649942,0.000233209192591345
"PBANKA_0109200.1",21163.8195424417,-3.48658589418634,0.246706942991201,-14.1325000906468,2.39488608339259e-45,4.44087689204633e-44
"PBANKA_0109300.1",836.817226550693,1.36319375317679,0.350294196664182,3.89156819084745,9.95983877733967e-05,0.000178646377512825
"PBANKA_0109400.1",274.598540680763,0.570316550033816,0.248878147336229,2.29154932298387,0.0219316626210115,0.030132654800457
"PBANKA_0109500.1",1468.24049425022,0.167714109206842,0.279102655499282,0.600904742044895,0.547903434593737,0.598145320908665
"PBANKA_0109600.1",810.391805124544,1.78145625660237,0.285405952736758,6.24183286830559,4.32472920925276e-10,1.19731359149828e-09
"PBANKA_0109700.1",4655.32376157163,0.55322149060233,0.363573957465246,1.5216202350115,0.128104264348607,0.158325936877744
"PBANKA_0109800.1",7883.48150629573,6.41512019506403,0.478423634438364,13.4088697407161,5.36502308161535e-41,8.06317608913327e-40
"PBANKA_0109900.1",16548.4595708177,1.48171276633006,0.20003977949539,7.40709058002242,1.29100288940816e-13,4.57396556350453e-13
"PBANKA_0110000.1",1811.06024905297,-3.17067952749383,0.316830559773263,-10.0074927423759,1.41287827322466e-23,8.8283484829977e-23
"PBANKA_0110100.1",12979.4296517654,1.2920123844749,0.283143319281724,4.56310390000536,5.04028551481122e-06,1.01932804350145e-05
"PBANKA_0110200.1",687.298524692217,2.07568652485569,0.250753099476279,8.2778100417939,1.25461151452017e-16,5.29257148719431e-16
"PBANKA_0110300.1",337.986525635865,-4.21780089852992,0.340935454026395,-12.3712592771398,3.73912794480398e-35,4.19026185988359e-34
"PBANKA_0110400.1",2662.26407836593,-1.17218486492414,0.346650399240716,-3.38146117094234,0.000721014221774153,0.00118976578528993
"PBANKA_0110500.1",30169.242662417,0.239685077896687,0.286351839333715,0.837029992384153,0.40257570953697,0.452538912565881
"PBANKA_0110600.1",337.165998694207,-1.05943872760696,0.456086651266874,-2.32288913666768,0.0201851088675327,0.027844323310712
"PBANKA_0110700.1",357.66516096431,-0.00262806001436598,0.237492000996067,-0.0110658885492716,0.991170878568715,0.996114313273271
"PBANKA_0110800.1",5119.87892839229,6.91330041639818,0.467660304269757,14.7827394227808,1.89307160994059e-49,4.49713555264688e-48
"PBANKA_0110900.1",906.352872658656,-1.10676180952211,0.332860265369078,-3.32500428759475,0.000884171753024089,0.00144787337574307
"PBANKA_0111000.1",1379.08409813571,-4.06049150752115,0.23343416667152,-17.3945895128322,9.0673991678727e-68,4.24931297367125e-66
"PBANKA_0111100.1",1546.12038495728,-3.69391191481229,0.279182192806123,-13.2311874109303,5.79643264462805e-40,8.32328977243944e-39
"PBANKA_0111200.1",24891.1301641371,-5.66074017122216,0.368393800448085,-15.3660028055219,2.76723520105856e-53,7.66940723734242e-52
"PBANKA_0111300.1",63.3035999366212,1.94243313577734,0.408251620019204,4.7579312378135,1.95587096540071e-06,4.09525378823748e-06
"PBANKA_0111300.1%2CPBANKA_0111300.2",614.436185671444,2.15892974451845,0.217023579375186,9.94790405141246,2.57550280852179e-23,1.57680724203442e-22
"PBANKA_0111300.2",49.4453176869662,2.13484768602132,0.537645874408407,3.97073201458186,7.16521397701344e-05,0.00013038008489765
"PBANKA_0111400.1",739.551072736807,1.81575957530996,0.340520908593342,5.33229980740591,9.69766546458143e-08,2.26821531170224e-07
"PBANKA_0111500.1",309.243017392263,1.94426074763365,0.269272228194102,7.22042804292519,5.18241869850805e-13,1.77392884401122e-12
"PBANKA_0111600.1",7577.82693700295,-4.27440897473928,0.224089950847839,-19.0745232375086,4.11154710381448e-81,3.02786076002338e-79
"PBANKA_0111700.1",2433.91688929383,3.33097316109071,0.220387729156658,15.1141498387279,1.30646324813372e-51,3.35065574334792e-50
"PBANKA_0111800.1",4284.23082922781,-2.27193281523689,0.268685497405398,-8.45573295609978,2.77339667711505e-17,1.22719827214833e-16
"PBANKA_0111900.1",6695.54856076116,-2.2499951745459,0.34530861126308,-6.51589650867902,7.22567824854301e-11,2.13580111073619e-10
"PBANKA_0112000.1",1888.53159586851,-1.72087077741393,0.208947041386376,-8.23591837432037,1.78185398303957e-16,7.46785144924306e-16
"PBANKA_0112100.1",54227.7845237678,-3.17471129508572,0.395065880482747,-8.03590350856523,9.28918272680213e-16,3.74107319973945e-15
"PBANKA_0112200.1",49924.5421118719,-6.14607162011836,0.27770612891217,-22.1315663582714,1.57027021723778e-108,4.04737148493037e-106
"PBANKA_0112300.1",5270.04872851586,-2.02381767312134,0.378479301909615,-5.34723474417276,8.9308156172674e-08,2.09265247759152e-07
"PBANKA_0112400.1",4770.33009217022,-3.13684200135327,0.240251617700045,-13.0564864927138,5.83596721241153e-39,8.02250959466171e-38
"PBANKA_0112500.1",6642.35059851992,-6.54468720171,0.524629513344116,-12.4748742402854,1.02367692784329e-35,1.19390374729235e-34
"PBANKA_0112600.1",9125.39141820321,-4.4160314935351,0.423654756685785,-10.4236561111253,1.93373594282337e-25,1.32207013067035e-24
"PBANKA_0112621.1",173.037631690282,-4.24421239958504,0.34164024691999,-12.423045697479,1.95956722906845e-35,2.22992694610328e-34
"PBANKA_0112641.1",771.787475135168,0.771955997762493,0.259677099822115,2.97275346301734,0.00295141411714056,0.00455388798978139
"PBANKA_0112661.1",15.5612708519725,-4.55505989463558,0.931866465712822,-4.88810367390057,1.01811913927876e-06,2.18047534814375e-06
"PBANKA_0112661.2",0,NA,NA,NA,NA,NA
"PBANKA_0112661.2%2CPBANKA_0112661.1",30.3299093819037,-6.50771279319804,1.10435983598139,-5.89274671277318,3.7982838697356e-09,9.86405710251234e-09
"PBANKA_0112681.1",0.0625959898289264,0,1.95151879073201,0,1,1
"PBANKA_0112701.1",8.09518548093708,-4.03435156436871,1.02705146116287,-3.92809096420624,8.56228271997189e-05,0.000154388533782568
"PBANKA_0112721.1",27.2792830341973,-0.538514215213174,0.598375693018008,-0.899960044327815,0.368141514305868,0.418102997630921
"PBANKA_0200400.1",4333.52418178291,-2.9675898290409,0.563927378517331,-5.26236168359698,1.42216647498764e-07,3.27727678970107e-07
"PBANKA_0200500.1",105.81404307311,-5.69486155571154,0.581483683700052,-9.79367386454326,1.19859866070928e-22,7.17627885709218e-22
"PBANKA_0200600.1",3459.27331134637,-0.383747133747528,0.349140941024099,-1.09911811723346,0.271716548434484,0.316971895718435
"PBANKA_0200650.1",35.7598306657964,-3.5478976131036,0.674092042108273,-5.26322429501954,1.41550714318867e-07,3.26338967939963e-07
"PBANKA_0200670.1",1.92786266890063,-2.2940599224633,1.79073768562467,-1.28106977413783,0.200169159387468,0.239025252870604
"PBANKA_0200700.1",77.3987093364192,4.61783251350304,0.885565166374038,5.2145597962156,1.84254261089534e-07,4.19907478300861e-07
"PBANKA_0200751.1",17.7815242355915,2.23553964311898,0.870514203921547,2.56806796838947,0.0102267101892119,0.0146807827973788
"PBANKA_0201000.1",204.43975586347,-0.728943130457134,0.240397630574018,-3.03223924760229,0.0024274672179931,0.00379314747158364
"PBANKA_0201051.1",283.543828892508,-1.55026713009207,0.492164806489708,-3.14989432330426,0.00163329529995553,0.00260106186940709
"PBANKA_0201100.1",48.7060234349775,-1.96102288778696,0.980554221247701,-1.99991274862053,0.0455096862910537,0.0601698981355173
"PBANKA_0201200.1",19.9526638418982,4.67702346709178,1.17900405472003,3.96692738109574,7.28051635906804e-05,0.000132338017739759
"PBANKA_0201250.1",3874.88354383748,-5.22998430211132,0.408959229500087,-12.7885224854919,1.90052774400523e-37,2.41906679514739e-36
"PBANKA_0201300.1",5760.14975698982,-5.2234946883478,0.447434575796472,-11.6743206066485,1.72437860550325e-31,1.60454363021105e-30
"PBANKA_0201340.1",1312.16460317229,-0.234706511319388,0.185658146887479,-1.26418643756923,0.20616311756605,0.245670566586452
"PBANKA_0201360.1",84.1124713874651,-7.71135260859805,0.803831902463278,-9.59324030928262,8.53612059241156e-22,4.88387365747853e-21
