"","interpro","Domain"
"358","IPR000185","TIGR00963"
"359","IPR000185","MF_01382"
"360","IPR000186","PTHR10078:SF55"
"361","IPR000186","PF02025"
"362","IPR000186","PR00432"
"363","IPR000186","PD006721"
"364","IPR000187","PF00473"
"365","IPR000187","SM00039"
"366","IPR000189","PS00922"
"367","IPR000190","PR00635"
"368","IPR000192","PF00266"
"369","IPR000194","PF00006"
"370","IPR000195","PF00566"
"371","IPR000195","PS50086"
"372","IPR000195","SM00164"
"373","IPR000195","SSF47923"
"374","IPR000196","PF01280"
"375","IPR000196","SM01416"
"376","IPR000196","SSF48140"
"377","IPR000196","MF_01475"
"378","IPR000197","PF02135"
"379","IPR000197","PS50134"
"380","IPR000197","SM00551"
"381","IPR000197","G3DSA:1.20.1020.10"
"382","IPR000197","SSF57933"
"383","IPR000198","PF00620"
"384","IPR000198","PS50238"
"385","IPR000198","SM00324"
"386","IPR000199","PF00548"
"387","IPR000200","PF01640"
"388","IPR000200","PR00797"
"389","IPR000200","PD004169"
"390","IPR000201","PF00242"
"391","IPR000202","PR01055"
"392","IPR000203","PF01825"
"393","IPR000203","PS50221"
"394","IPR000203","SM00303"
"395","IPR000204","PR01064"
"396","IPR000206","PTHR24089:SF404"
"397","IPR000206","TIGR00855"
"398","IPR000206","MF_00368"
"399","IPR000206","cd00387"
"400","IPR000207","PR00559"
"401","IPR000208","PF00972"
"402","IPR000209","PF00082"
"403","IPR000209","G3DSA:3.40.50.200"
"404","IPR000209","SSF52743"
"405","IPR000210","PF00651"
"406","IPR000210","PS50097"
"407","IPR000210","SM00225"
"408","IPR000211","PF00845"
"409","IPR000212","PTHR11070"
"410","IPR000213","PTHR11385:SF15"
"411","IPR000213","PR00804"
"412","IPR000214","PS51066"
"413","IPR000215","PTHR11461"
"414","IPR000217","PTHR11588"
"415","IPR000217","PR01161"
"416","IPR000218","PTHR11761"
"417","IPR000218","PF00238"
"418","IPR000218","SM01374"
"419","IPR000218","G3DSA:2.40.150.20"
"420","IPR000218","SSF50193"
"421","IPR000218","MF_01367"
"422","IPR000219","PF00621"
"423","IPR000219","PS50010"
"424","IPR000219","SM00325"
"425","IPR000219","SSF48065"
"426","IPR000221","PF00260"
"427","IPR000221","PS00048"
"428","IPR000222","PS01032"
"429","IPR000223","PR00727"
"430","IPR000223","TIGR02227"
"431","IPR000224","PF00922"
"432","IPR000225","PF00514"
"433","IPR000225","PS50176"
"434","IPR000225","SM00185"
"435","IPR000226","PF01415"
"436","IPR000227","PR00654"
"437","IPR000228","PTHR11096"
"438","IPR000228","PIRSF005378"
"439","IPR000229","PIRSF004029"
"440","IPR000231","PTHR11449:SF5"
"441","IPR000231","MF_00481"
"442","IPR000232","PF00447"
"443","IPR000232","PR00056"
"444","IPR000232","PS00434"
"445","IPR000232","SM00415"
"446","IPR000233","PF01049"
"447","IPR000234","MF_04032"
"448","IPR000235","PTHR11205"
"449","IPR000235","PIRSF002122"
"450","IPR000236","PF00739"
"451","IPR000237","PF01465"
"452","IPR000237","PS50913"
"453","IPR000237","SM00755"
"454","IPR000237","G3DSA:1.10.220.60"
"455","IPR000237","SSF101283"
"456","IPR000238","PTHR33515"
"457","IPR000238","PF02033"
"458","IPR000238","PD007327"
"459","IPR000238","TIGR00082"
"460","IPR000238","MF_00003"
"461","IPR000239","PR00717"
"462","IPR000240","PR00676"
"463","IPR000241","PF01170"
"464","IPR000241","PS01261"
"465","IPR000242","PF00102"
"466","IPR000242","PR00700"
"467","IPR000242","PS50055"
"468","IPR000242","SM00194"
"469","IPR000243","PR00141"
"470","IPR000244","PTHR21368"
"471","IPR000245","PR00122"
"472","IPR000246","PTHR10188"
"473","IPR000246","PF01112"
"474","IPR000247","PR00222"
"475","IPR000248","PR00241"
"476","IPR000249","PF00936"
"477","IPR000249","SM00877"
"478","IPR000250","PF01828"
"479","IPR000250","PR00977"
"480","IPR000253","PF00498"
"481","IPR000253","PS50006"
"482","IPR000253","SM00240"
"483","IPR000254","PF00734"
"484","IPR000254","PD001821"
"485","IPR000254","PS00562"
"486","IPR000254","PS51164"
"487","IPR000254","SM00236"
"488","IPR000254","SSF57180"
"489","IPR000256","PF00600"
"490","IPR000257","PF01208"
"491","IPR000257","PS00906"
"492","IPR000257","PS00907"
"493","IPR000258","PF00818"
"494","IPR000258","PR00327"
"495","IPR000258","PS00314"
"496","IPR000259","PF00419"
"497","IPR000259","G3DSA:2.60.40.1090"
"498","IPR000260","PF01059"
"499","IPR000261","PF12763"
"500","IPR000261","PS50031"
"501","IPR000261","SM00027"
"502","IPR000262","PF01070"
"503","IPR000263","PF00844"
"504","IPR000263","PR00223"
"505","IPR000264","PTHR11385"
"506","IPR000264","PR00802"
"507","IPR000265","PTHR11866:SF28"
"508","IPR000265","PR00582"
"509","IPR000266","PTHR10744"
"510","IPR000266","PF00366"
"511","IPR000266","PR00973"
"512","IPR000266","PD001295"
"513","IPR000268","PF01194"
"514","IPR000268","PIRSF005653"
"515","IPR000268","PD006539"
"516","IPR000268","MF_00250"
"517","IPR000269","PTHR10638"
"518","IPR000269","PR00766"
"519","IPR000269","PS01164"
"520","IPR000269","PS01165"
"521","IPR000270","PF00564"
"522","IPR000270","PS51745"
"523","IPR000270","SM00666"
"524","IPR000271","PTHR14503"
"525","IPR000271","PF00468"
"526","IPR000271","PD003101"
"527","IPR000271","TIGR01030"
"528","IPR000271","MF_00391"
"529","IPR000272","PF02038"
"530","IPR000272","PD005989"
"531","IPR000272","PS01310"
"532","IPR000274","PF01295"
"533","IPR000274","PIRSF001444"
"534","IPR000275","PF02035"
"535","IPR000275","PIRSF002379"
"536","IPR000275","PR00763"
"537","IPR000275","PD016677"
"538","IPR000276","PF00001"
"539","IPR000276","PR00237"
"540","IPR000276","PS00237"
"541","IPR000276","SM01381"
"542","IPR000277","PTHR11808"
"543","IPR000277","PF01053"
"544","IPR000277","PIRSF001434"
"545","IPR000277","PS00868"
"546","IPR000277","cd00614"
"547","IPR000280","PF05578"
"548","IPR000280","PR00729"
"549","IPR000280","PS51535"
"550","IPR000281","PF01418"
"551","IPR000281","PS51071"
"552","IPR000283","PS00641"
"553","IPR000283","PS00642"
"554","IPR000283","PS00643"
"555","IPR000286","PTHR10625"
"556","IPR000286","PR01270"
"557","IPR000289","PTHR10769"
"558","IPR000289","PF01200"
"559","IPR000289","PD005541"
"560","IPR000289","MF_00292"
"561","IPR000289","cd04457"
"562","IPR000290","PR01299"
"563","IPR000290","PD007225"
"564","IPR000291","PS00843"
"565","IPR000291","PS00844"
"566","IPR000292","PF01226"
"567","IPR000292","TIGR00790"
"568","IPR000293","PF01024"
"569","IPR000293","PR00280"
"570","IPR000293","PD002657"
"571","IPR000293","PS00276"
"572","IPR000294","PF00594"
"573","IPR000294","PR00001"
"574","IPR000294","PS00011"
"575","IPR000294","PS50998"
"576","IPR000294","SM00069"
"577","IPR000294","SSF57630"
"578","IPR000296","PTHR15071:SF11"
"579","IPR000296","PR00715"
"580","IPR000297","PF00639"
"581","IPR000297","PF13145"
"582","IPR000297","PS50198"
"583","IPR000298","PF00510"
"584","IPR000298","PS50253"
"585","IPR000298","SSF81452"
"586","IPR000299","PS50057"
"587","IPR000300","SM00128"
"588","IPR000301","PIRSF002419"
"589","IPR000301","PR00259"
"590","IPR000304","PTHR11645"
"591","IPR000304","PIRSF000193"
"592","IPR000304","PS00521"
"593","IPR000304","TIGR00112"
"594","IPR000304","MF_01925"
"595","IPR000305","PF01541"
"596","IPR000305","PS50164"
"597","IPR000305","SM00465"
"598","IPR000305","G3DSA:3.40.1440.10"
"599","IPR000305","SSF82771"
"600","IPR000306","PF01363"
"601","IPR000306","SM00064"
"602","IPR000307","PTHR12919"
"603","IPR000307","PF00886"
"604","IPR000307","TIGR00002"
"605","IPR000307","MF_00385"
"606","IPR000308","PTHR18860"
"607","IPR000308","PIRSF000868"
"608","IPR000308","PR00305"
"609","IPR000310","PF01276"
"610","IPR000310","PS00703"
"611","IPR000310","cd00615"
"612","IPR000312","PF00591"
"613","IPR000312","G3DSA:3.40.1030.10"
"614","IPR000312","SSF52418"
"615","IPR000313","PF00855"
"616","IPR000313","PS50812"
"617","IPR000313","SM00293"
"618","IPR000314","PR00527"
"619","IPR000315","PF00643"
"620","IPR000315","PS50119"
"621","IPR000315","SM00336"
"622","IPR000316","PF02068"
"623","IPR000316","PR00877"
"624","IPR000317","PF03510"
"625","IPR000317","PR00916"
"626","IPR000318","PS00090"
"627","IPR000318","PS00699"
"628","IPR000319","PS01103"
"629","IPR000320","PF01085"
"630","IPR000321","PR00525"
"631","IPR000322","PF01055"
"632","IPR000323","PF01082"
"633","IPR000323","G3DSA:2.60.120.310"
"634","IPR000324","PR00350"
"635","IPR000326","PF01569"
"636","IPR000326","SM00014"
"637","IPR000326","G3DSA:1.20.144.10"
"638","IPR000326","SSF48317"
"639","IPR000327","PF00157"
"640","IPR000327","PS00035"
"641","IPR000327","PS00465"
"642","IPR000327","PS51179"
"643","IPR000327","SM00352"
"644","IPR000328","PF00517"
"645","IPR000328","cd09909"
"646","IPR000329","PR00486"
"647","IPR000330","PF00176"
"648","IPR000331","PF02145"
"649","IPR000331","PS50085"
"650","IPR000331","SSF111347"
"651","IPR000332","PTHR24248:SF97"
"652","IPR000332","PR00562"
"653","IPR000333","PTHR23255"
"654","IPR000333","PR00653"
"655","IPR000334","PF02015"
"656","IPR000334","PS01140"
"657","IPR000335","PR00311"
"658","IPR000336","G3DSA:2.60.40.350"
"659","IPR000337","PR00248"
"660","IPR000340","PF00782"
"661","IPR000341","PF00794"
"662","IPR000341","PS51546"
"663","IPR000341","SM00144"
"664","IPR000343","PIRSF000445"
"665","IPR000343","TIGR01035"
"666","IPR000343","MF_00087"
"667","IPR000344","PF02117"
"668","IPR000344","PR00697"
"669","IPR000346","PR00548"
"670","IPR000347","PF01439"
"671","IPR000349","PF00695"
"672","IPR000351","PR01013"
"673","IPR000352","PF00472"
"674","IPR000352","PS00745"
"675","IPR000353","PF00969"
"676","IPR000353","PD000328"
"677","IPR000353","SM00921"
"678","IPR000354","PF00904"
"679","IPR000355","PR00657"
"680","IPR000356","PTHR24231:SF62"
"681","IPR000356","PR00594"
"682","IPR000357","PF02985"
"683","IPR000358","PTHR23409"
"684","IPR000358","PF00268"
"685","IPR000358","PIRSF000355"
"686","IPR000361","PF01521"
"687","IPR000361","G3DSA:2.60.300.12"
"688","IPR000361","SSF89360"
"689","IPR000362","PR00149"
"690","IPR000363","PTHR24248:SF93"
"691","IPR000363","PR00240"
"692","IPR000366","PF02116"
"693","IPR000366","PR00250"
"694","IPR000367","PR00443"
