GeneID	asexual1	asexual2	asexual3	female1	female2	female3	male1	male2	male3
PBANKA_1321500	10.9177091520711	36.0891552199625	13.7532853391577	19.8267218336788	19.5619343257433	22.3637637961859	412.882696638172	327.926754744649	329.79227894441
PBANKA_1321600	7.57987065029749	12.4340066785822	13.0059566155236	3.39014849913428	3.46087703888943	3.25138207803458	39.4023363228944	32.2741445481551	39.752764234087
PBANKA_1321700	741.119639812017	589.897838858627	653.647869483667	44.4267193879609	68.893119990791	76.0586214756045	223.060623554245	337.145218413602	320.625030447315
PBANKA_1321800	171.310911954311	110.670778456931	142.734488213803	29.9756958322792	24.8028807508087	41.2878189184327	86.508085659646	85.8009299146895	113.573252337827
PBANKA_1321900	94.2171536208737	81.5685589496354	78.8840572236749	21.9590372231163	19.3474394318207	19.5504118474119	57.8103523454104	52.4083134026459	58.7360039915743
PBANKA_1322000	49.7849446225704	46.8362734482346	48.7086108410029	22.568269799512	19.9224970147339	18.7587672637137	20.8867069589733	22.1773437472209	30.1997201065831
PBANKA_1322100	27.3724268282452	44.6290678635466	36.4463103503706	2.0049792608637	2.48570486534433	2.33124784805101	93.2930641311218	75.8294839558788	81.7538299854259
PBANKA_1322200	11.1961098814589	27.9035996254724	13.3726688392829	13.1292994150689	12.9985907224674	14.579195149042	166.26196748403	125.869306816239	130.217225877027
PBANKA_1322300	18.9766870441205	21.6789818661291	26.1302722634189	9.44013324686975	9.22034945254471	9.0951915985786	6.385632338976	10.3924467800968	10.9751400785065
PBANKA_1322400	69.2407164669324	107.820267501446	90.738302551583	31.6262697352251	24.5542574092229	29.2314656460737	547.784182395528	447.463950420072	525.875876622843
PBANKA_1322500	40.0737369129226	35.1015017043962	36.8158875763607	6.34831565029054	7.94813728009932	7.02758047488051	4.96603172813752	12.6745230411204	10.460989372126
PBANKA_1322600	56.2440378556038	104.592749434124	77.5970438136857	42.5320912468059	46.2503216140916	44.5069375795865	13.6951433993358	30.7867193708296	28.0697522007863
PBANKA_1322700	211.815983174489	139.185596501333	189.476225301869	33.2094509423152	38.0887333519202	37.2868679564042	23.5386444397027	53.2859303892063	50.2896229812299
PBANKA_1322800	68.9348376104933	47.6400104544168	46.3782128297182	35.4869823579226	32.1906591432909	34.3027202402391	12.9355083479655	19.3874061999483	24.4487824816627
PBANKA_1322900	18.4347780096746	45.392008102631	33.0943683549759	43.799643683681	37.287792359509	44.4771869528622	159.389911998103	143.792883587704	164.919771579691
PBANKA_1323000	49.7327682613939	51.4650527940388	76.3916748530037	3.65742060821237	6.37327416577624	7.2451526258056	7.80608255305276	17.5379454001011	17.0085325922523
PBANKA_1323100	20.0933965622692	14.6933114315515	20.9649538298894	4.56232752985414	3.82280554936707	3.74665154944133	4.02283905727615	4.73802469556023	7.00190374914502
PBANKA_1323200	51.1260256496067	53.1323840965418	49.4929335252774	16.3901806615554	12.8523915561324	12.8573527024973	37.261367816105	33.3040659485906	40.9053676947362
PBANKA_1323300	167.488387913985	118.164903824981	112.412935988369	207.013540164538	216.324255591836	223.843715473803	14.2023709326445	37.5381929170642	31.7946482274309
PBANKA_1323400	230.499326950234	393.837458416559	333.682329014674	311.94791236332	305.2119343923	315.317943275576	535.650832278898	467.114145353302	474.507842418602
PBANKA_1323500	2.29369793934806	7.67629653431595	2.43699325147098	19.5146222142649	18.5677394359742	14.9550573100821	23.4527369782439	17.1292540178178	20.5033857136735
PBANKA_1323600	2.86056900150123	10.5007800027117	2.95485431740856	12.8036813291938	11.8195266347123	11.769347932142	34.4153881349974	26.8123519432796	42.0203747005768
PBANKA_1323700	121.176881313594	117.954784462278	126.504700464054	15.1122587630997	14.4226366673573	19.9292010769556	23.0590391900274	32.9007745249943	41.4976697968378
PBANKA_1323800	0.307092753784351	2.21360316262697	0.333075365891464	564.157619613941	456.476082322893	498.047528866436	18.5044118633	20.9545734509058	23.8964890598233
PBANKA_1323900	54.3789194162932	61.7578341532394	54.775360645839	15.978753677602	17.2296306628459	20.2020922423257	9.62265839125664	23.8735778866172	23.5204197600811
PBANKA_1324000	2258.0332768993	1886.86743009765	2052.77950650826	304.761828966217	414.085456930397	454.742579570802	414.567932134655	892.660542358717	771.490582661422
PBANKA_1324100	197.366769535892	220.103685646358	170.968645002897	119.706435976503	128.66546461368	141.753291840362	43.1752519345871	82.7276627542978	81.9047240793241
PBANKA_1324200	10.3522583578356	10.3981095928662	10.23267627844	4.32108172544118	3.19841173326819	3.77885153480869	1.15683472509009	3.12699827404549	3.45416423523437
PBANKA_1324300	5.26226821468217	9.67260289232322	10.3713429683877	22.5096879816691	21.6188125138225	24.4703830408004	5.21503804941593	17.8936404847886	10.334207756041
PBANKA_1324400	2580.78243400746	1927.35095671293	2487.30389956555	432.74224665694	568.960692555312	563.610444401104	354.153509863775	971.633492925244	783.250792541462
PBANKA_1324500	26.0724813780755	24.7310761824567	26.9919304535324	0.505777521712489	1.12379620962323	1.50287691738841	2.28083595468694	4.18568892400499	5.85473614836882
PBANKA_1324600	116.970162193739	101.814046750891	102.985363709681	2.33668538858013	5.48349887639839	7.74828822481988	10.8298672782738	25.5761703751474	25.0853357676737
PBANKA_1324700	7.92559820467349	8.68725431399845	6.83642387061106	27.9179972390367	24.9586038008064	21.9527503726209	1.7244432205676	3.91203634272821	3.38222747920633
PBANKA_1324800	2.44893885374422	7.46478697659236	4.3111808893338	46.5698233509066	37.5069287822837	41.9083910355342	8.12811334113582	7.58599994850684	11.7875076253011
PBANKA_1324900	95.5250397240446	127.628057345211	168.137634256889	54.0662176866176	49.0950834594028	57.7162158451857	314.322562047255	341.624561439469	350.040452503881
PBANKA_1325000	3151.30003400674	2628.00269586581	3157.34874563097	1527.98905409761	1451.36834411541	1457.08069474535	950.883792314174	1693.05113536913	1535.71750627929
PBANKA_1325100	0.485995413099087	1.40127172680056	0.632537621463606	181.521401195356	150.433468454034	162.716822274974	2.58655018896731	7.78793829247609	4.67849544630988
PBANKA_1325200	2.01557707422851	7.54379760726959	2.45036699492417	557.52966461708	542.105815104284	540.602266332875	8.10945483131399	25.6029050480134	14.9255415701788
PBANKA_1325300	136.643251410996	155.210392734886	133.935807303965	33.3908955527537	31.5756911939239	38.7342534726849	141.010386464143	133.377771146416	151.347656796894
PBANKA_1325400	8.94663556025075	39.4574763738257	10.943904879291	1350.57856770617	1399.79050003691	1404.00920637525	15.1228949745752	55.2120503336516	31.503948669796
PBANKA_1325500	9.78136950008276	13.0946365874035	7.52144735340361	49.2943126822679	34.6797077786171	39.0007677149988	17.2243881723408	14.3467676245777	20.6867001075704
PBANKA_1325600	150.900764272143	111.578536038259	165.532144924214	4.05022954180929	9.65903537159543	10.1052778120389	18.6140271036117	39.4115702520825	40.9005529456278
PBANKA_1325700	13.8078467285578	88.4976317665195	24.9467208764821	33.9760384369455	31.6017788633018	29.614066470506	1207.50295547285	1078.07750946062	902.622126456565
PBANKA_1325800	7.5042234527698	11.9769353631398	14.1909200094722	4.16400398012611	3.67361827025707	2.88923894666829	26.0398599090244	18.944384514664	24.2116097783457
PBANKA_1325900	202.301501457519	220.980788017753	217.621027430766	130.700616329511	131.581602818869	144.990081376482	152.133987861991	157.382322530468	215.835432895248
PBANKA_1326000	83.8923934184489	103.85314078883	110.317596472742	21.5450313794506	22.7432009681803	24.6082148507717	58.3086966978653	58.64419387086	72.3917513344679
PBANKA_1326100	16.2397525181751	59.7833105103487	19.0525355601247	14.1192230429431	12.7851103206884	14.6187764264432	872.039675798116	715.425064374056	759.263452226469
PBANKA_1326200	4.18860232777957	30.3035194581426	5.61193261833409	5.19473435223273	3.59952361522246	6.89568789966855	296.064582596105	161.362834605218	227.819879769158
PBANKA_1326300	288.068552049913	311.398274648884	275.736531999189	167.761922379055	136.362712349845	171.429889809357	53.1625819721051	93.9565824902568	112.939116959766
PBANKA_1326400	11964.7389045039	7601.31637748741	9353.1629753025	547.853232643956	843.835604697162	992.871714572677	4239.45049257988	4648.77704719433	4581.63785620496
PBANKA_1326500	47.3834017353931	46.6129121890707	49.4938098165934	5.01772441337206	5.66537460874368	5.11397615166512	41.9830894510339	33.4269008681203	45.7752612748044
PBANKA_1326600	151.20007200364	161.170560867545	182.884043241501	466.375610679166	413.781084906069	404.94638545775	73.7880053581456	97.7749676847119	99.2242470189112
PBANKA_1326700	5.90219878164235	5.96698598136033	6.66921447104959	1.16914300908061	1.05114268851811	0.944815442439982	2.61762270575019	2.25407666988819	2.94111640977953
PBANKA_1326800	117.002339191838	205.616063768513	130.613125624581	11.3739302392588	12.2355348185427	14.9149808644604	555.836838584152	395.366290867496	383.309538741859
PBANKA_1326900	40.0526574010934	80.578779792697	54.681160154258	15.9582903290677	15.4208373331117	14.6952726690694	346.973579796209	259.054787364616	294.062083727078
PBANKA_1327000	123.479822188696	106.443948539153	153.844184962422	40.8393986498129	47.9820648606806	42.953235232898	17.981141243474	45.5316189421872	43.9554997834455
PBANKA_1327021	442.872492947651	485.431903978457	405.069432916273	12.9018943309567	35.9692311652392	40.330816493171	79.8673419790181	154.872543506274	124.314440359435
PBANKA_1327041	0.696002190146284	1.2542404780943	1.07841398445568	0	0	0.399570461114989	1.49021227851653	1.58684268750915	2.01004556182335
PBANKA_1327061	55.2090789280563	62.9696482231001	59.9103490043387	14.3662189027982	12.5648091500509	13.8108413967956	49.8579846769906	52.0462217594743	54.7383967218256
PBANKA_1327080	151.618747376867	143.579461216439	144.947583408014	89.2498494364376	91.6507695934898	70.2758047488051	88.2850085002225	102.403431193158	104.196415880465
PBANKA_1327100	18.3197629565265	26.4355300767567	15.14242786711	8.26320813469721	7.2564807797078	9.10375624270602	60.2270872296538	53.6343495454067	63.8135627533241
PBANKA_1327200	369.801094107115	256.5012664694	300.881252668298	64.3988726222823	62.401227574568	61.1672885452071	117.93040149428	126.387584785511	149.261905067688
PBANKA_1327251	209.43827494435	222.469866523434	298.909931777588	38.0651634161558	49.1082508395883	51.3878043856808	77.4529725116959	151.890270092142	104.355235183552
PBANKA_1327300	1356.04592428308	1203.32802011594	1298.7640030124	45.6945358845072	122.617538217253	137.928155583491	287.48931977177	583.534681082158	458.960403282999
PBANKA_1327400	101.051872104728	102.201012010531	103.586976878458	6.4285518929484	12.1386784039856	11.0985698274322	12.9101288970583	34.5186809032684	27.730402395451
PBANKA_1327500	13.3689046278691	17.7802953083399	22.6165389697385	1.47336849145996	2.00059692530675	2.33493070405109	2.00426993315713	5.51956960533395	5.40166667370986
PBANKA_1327600	11.7718888950668	28.3121263476376	32.5791629868123	2.99169827528356	3.44756237479737	2.72925977357033	154.885034245099	121.926611153481	110.882741305978
PBANKA_1327700	2.29618973504535	13.7203416558072	2.43429062904381	1.19081206114449	0.784687023850777	1.17946717862713	123.796626134891	77.6222646801052	89.9694242177066
PBANKA_1327800	349.625100183483	362.754218275495	368.371838236934	178.435682244469	185.199385591524	203.063611055119	83.6080050737226	170.072833617052	150.072766787774
PBANKA_1327900	35.3804660736135	34.4187367895387	41.4061135066018	12.8920382702888	13.5305973723912	12.0902988658817	13.3489774120267	17.3065295388357	22.2280516982456
PBANKA_1328000	38.5829664601576	31.062913427935	28.878508181476	3.07042717726471	3.65863762223395	4.44797729861753	28.7467274735364	26.0567074278713	28.5390343991545
PBANKA_1328100	134.60524863461	238.155596785925	190.406800401157	52.5981010705841	47.5396850221239	58.6716537269329	474.112064717649	381.763217483271	384.823718470706
PBANKA_1328200	64.6276700339166	151.306693675437	70.4240278982373	75.3022265224169	73.1684982148856	69.338794018821	1140.61734828773	984.758678997864	1032.91588538857
PBANKA_1328300	128.265096800268	117.767657959131	147.700743507965	44.7479869868407	41.8528286882568	51.9418896582376	24.5256040253256	42.3501522445623	44.7660241838531
PBANKA_1328400	342.281481407066	356.998949944504	306.792816493394	255.887405729804	238.849124275474	249.595943888764	173.308844368249	203.15841986489	184.357379802485
PBANKA_1328500	17.8224953467766	15.8126636962195	18.5630111719409	4.03488037650368	3.93638923855449	3.82852236913736	3.75752911944965	5.44922613339031	5.85667263085054
PBANKA_1328600	70.6515137513636	65.3775835493504	67.7083760731904	1.89489220082622	4.82429658559685	3.5972757799238	9.91629827618571	21.8284784711973	17.5716268685491
PBANKA_1328700	56.5705418605109	51.8014882046759	49.8867061467471	1.31284777336115	3.42396484203717	4.09131446076778	79.4871976879176	73.1255776724957	70.8383843769356
PBANKA_1328800	361.279270189599	520.584123770797	561.750637454005	892.57318043085	954.004649801778	1082.05012771476	600.811013204193	584.902658222122	620.786441773893
