	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_242	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1956	7.579167967396076	10347.254	9.244573	1.9139087	0.3427949
SC22530_1_243	GCSKO-17	PBANKA	fd3   PBANKA_1418100	551	6.313548046277095	3449.5886	8.1463	9.121493	-1.2471603
SC22530_1_244	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2095	7.647786045440933	9605.287	9.170173	8.884172	18.876099
SC22530_1_245	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1604	7.380879035564116	8158.6826	9.006961	-2.0755303	13.432229
SC22530_1_246	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1258	7.138073034044347	6563.1104	8.789372	4.1242723	1.8219948
SC22530_1_247	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1423	7.261225091971921	7718.8643	8.951552	-2.0583384	13.329827
SC22530_1_248	GCSKO-17	PBANKA	fd3   PBANKA_1418100	577	6.359573868672378	3693.4631	8.21459	5.6859474	-7.199609
SC22530_1_249	GCSKO-2	PBANKA	md3 PBANKA_0102400	602	6.401917196727186	3738.8577	8.226803	2.5623016	-7.89181
SC22530_1_24	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1228	7.113956109566034	6685.043	8.807777	5.851217	2.3639176
SC22530_1_250	GCSKO-2	PBANKA	md3 PBANKA_0102400	613	6.419994928147142	3450.3926	8.146533	10.672153	-3.8222258
SC22530_1_251	GCSKO-2	PBANKA	md3 PBANKA_0102400	570	6.3473892096560105	3251.828	8.08728	10.227048	-5.0751023
SC22530_1_252	GCSKO-2	PBANKA	md3 PBANKA_0102400	1363	7.218176838403408	7495.1826	8.92215	-2.9079578	7.406812
SC22530_1_253	GCSKO-2	PBANKA	md3 PBANKA_0102400	364	5.8998973535824915	2327.7144	7.753072	3.6960373	-5.1451283
SC22530_1_254	GCSKO-2	PBANKA	md3 PBANKA_0102400	107	4.68213122712422	755.9043	6.6292367	2.3599265	6.579881
SC22530_1_257	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1212	7.10085190894405	6343.9214	8.75541	5.879418	2.189024
SC22530_1_258	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1305	7.174724309836376	6503.5654	8.780259	6.9925685	1.962361
